date,inflation_yoy_pct
01/01/03,2.36
02/01/03,2.13
03/01/03,1.82
04/01/03,1.50
05/01/03,1.83
06/01/03,1.52
07/01/03,1.66
08/01/03,2.17
09/01/03,1.72
10/01/03,1.21
11/01/03,1.92
12/01/03,1.82
01/01/04,1.40
02/01/04,2.35
03/01/04,2.54
04/01/04,2.52
05/01/04,2.31
06/01/04,2.97
07/01/04,3.05
08/01/04,3.05
09/01/04,3.55
10/01/04,3.38
11/01/04,3.01
12/01/04,3.06
01/01/05,2.88
02/01/05,2.63
03/01/05,3.27
04/01/05,3.48
05/01/05,3.71
06/01/05,3.62
07/01/05,5.17
08/01/05,5.51
09/01/05,6.00
10/01/05,6.35
11/01/05,5.94
12/01/05,5.89
01/01/06,6.01
02/01/06,5.64
03/01/06,5.78
04/01/06,6.03
05/01/06,6.02
06/01/06,5.73
07/01/06,4.28
08/01/06,3.78
09/01/06,2.75
10/01/06,2.89
11/01/06,3.52
12/01/06,3.68
01/01/07,3.09
02/01/07,2.52
03/01/07,2.00
04/01/07,1.78
05/01/07,1.85
06/01/07,1.81
07/01/07,1.62
08/01/07,1.14
09/01/07,2.10
10/01/07,2.65
11/01/07,3.16
12/01/07,3.16
01/01/08,4.34
02/01/08,5.35
03/01/08,5.33
04/01/08,6.00
05/01/08,7.57
06/01/08,8.67
07/01/08,9.17
08/01/08,6.52
09/01/08,6.11
10/01/08,3.99
11/01/08,2.10
12/01/08,0.46
01/01/09,-0.53
02/01/09,-0.18
03/01/09,-0.29
04/01/09,-0.99
05/01/09,-3.29
06/01/09,-3.96
07/01/09,-4.32
08/01/09,-1.06
09/01/09,-0.91
10/01/09,0.39
11/01/09,1.94
12/01/09,3.46
01/01/10,3.98
02/01/10,3.55
03/01/10,3.33
04/01/10,2.96
05/01/10,3.51
06/01/10,3.44
07/01/10,3.61
08/01/10,3.32
09/01/10,3.00
10/01/10,2.91
11/01/10,2.75
12/01/10,2.98
01/01/11,2.90
02/01/11,2.78
03/01/11,3.04
04/01/11,4.11
05/01/11,4.32
06/01/11,4.21
07/01/11,4.20
08/01/11,4.33
09/01/11,4.02
10/01/11,4.17
11/01/11,4.14
12/01/11,3.42
01/01/12,3.27
02/01/12,3.28
03/01/12,3.41
04/01/12,2.53
05/01/12,2.60
06/01/12,2.66
07/01/12,2.81
08/01/12,2.76
09/01/12,3.38
10/01/12,3.27
11/01/12,2.66
12/01/12,3.55
01/01/13,3.31
02/01/13,3.20
03/01/13,2.68
04/01/13,2.49
05/01/13,2.29
06/01/13,2.30
07/01/13,2.03
08/01/13,1.63
09/01/13,1.40
10/01/13,1.41
11/01/13,1.88
12/01/13,1.66
01/01/14,1.93
02/01/14,1.95
03/01/14,2.12
04/01/14,2.48
05/01/14,2.62
06/01/14,2.35
07/01/14,2.16
08/01/14,2.12
09/01/14,1.73
10/01/14,1.45
11/01/14,1.24
12/01/14,0.62
